title,tmdb_id,release_date,trailer_id,poster_path,overview,comment_count,runtime,genres,production_companies,tmdb_vote_average,tmdb_vote_count,budget,revenue,popularity,box_office,imdb_rating,imdb_votes,imdb_id,metacritic,rated,awards,director,actors
Anora,1064213,2024-10-14,8m6UrWMl18M,/7MrgIUeq0DD2iF7GR6wqJfYZNeC.jpg,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",208,139,"Drama, Comedy, Romance","Cre Film, FilmNation Entertainment",7.1,1936,6000000,51868503,52.6544,"$16,300,129",7.8,"122,308",tt28607951,91,R,Won 5 Oscars. 144 wins & 267 nominations total,Sean Baker,"Mikey Madison, Paul Weissman, Yura Borisov"
The Wild Robot,1184918,2024-09-12,VUCNBAmse04,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",300,102,"Animation, Science Fiction, Family",DreamWorks Animation,8.335,4626,78000000,331982078,52.3186,"$143,901,945",8.2,"151,636",tt29623480,85,PG,Nominated for 3 Oscars. 85 wins & 104 nominations total,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor"
Love Hurts,1226406,2025-02-06,y7_gi1-bIJs,/skPPVeHoTTVVSJlb0Ib5vrqiuA4.jpg,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",185,83,"Action, Comedy, Romance","87North Productions, Universal Pictures, dentsu",5.94,142,18000000,16958671,49.7896,"$15,683,090",5.3,"6,793",tt30788842,34,R,N/A,Jonathan Eusebio,"Ke Huy Quan, Ariana DeBose, Mustafa Shakir"
Inside Out 2,1022789,2024-06-11,u69y5Ie519M,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",300,97,"Animation, Adventure, Comedy, Family","Walt Disney Pictures, Pixar",7.6,5705,200000000,1698863816,49.6231,"$652,980,194",7.5,"211,354",tt22022452,73,PG,Nominated for 1 Oscar. 4 wins & 105 nominations total,Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman"
Dog Man,774370,2025-01-24,QaJbAennB_Q,/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",300,89,"Family, Animation, Comedy, Action",DreamWorks Animation,7.8,183,40000000,114192145,43.9066,"$90,317,665",6.5,"6,663",tt10954718,66,PG,N/A,Peter Hastings,"Pete Davidson, Poppy Liu, Lil Rel Howery"
The Godfather,238,1972-03-14,Ew9ngL1GZvs,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",246,175,"Drama, Crime","Paramount Pictures, Alfran Productions",8.686,21256,6000000,245066411,43.2585,"$136,381,073",9.2,"2,108,592",tt0068646,100,R,Won 3 Oscars. 31 wins & 31 nominations total,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
Blade Runner 2049,335984,2017-10-04,geFtxCSz8xI,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",300,164,"Science Fiction, Drama","Alcon Entertainment, Columbia Pictures, Scott Free Productions, Bud Yorkin Productions, Torridon Films, 16:14 Entertainment",7.576,14005,150000000,259239658,58.7117,"$92,071,675",8.0,"707,502",tt1856101,81,R,Won 2 Oscars. 100 wins & 163 nominations total,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas"
Interstellar,157336,2014-11-05,LY19rHKAaAg,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,116,169,"Adventure, Drama, Science Fiction","Legendary Pictures, Syncopy, Lynda Obst Productions",8.453,36847,165000000,746606706,42.2799,"$203,227,580",8.7,"2,301,429",tt0816692,74,PG-13,Won 1 Oscar. 44 wins & 148 nominations total,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
The Shawshank Redemption,278,1994-09-23,PLl99DlL6b4,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",250,142,"Drama, Crime",Castle Rock Entertainment,8.708,28042,25000000,28341469,43.5574,"$28,767,189",9.3,"3,015,278",tt0111161,82,R,Nominated for 7 Oscars. 21 wins & 42 nominations total,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton"
Last Breath,972533,2025-02-27,sNMyooXZZTM,/w04Xg5Bnqj7ECdCxTsHgqK6AtJW.jpg,Seasoned deep-sea divers battle the raging elements to rescue their crewmate trapped hundreds of feet below the ocean's surface.,300,93,"Thriller, Drama","Dark Castle Entertainment, MetFilm Production, Longshot Films, Floating Harbour, FilmNation Entertainment, Thing 44, Aperture Media Partners",6.142,106,23800000,22761967,40.9045,N/A,7.7,"7,864",tt9056818,61,TV-MA,N/A,"Richard da Costa, Alex Parkinson","Duncan Allcock, Kjetil Ove Alvestad, Stuart Anderson"
28 Days Later,170,2002-10-31,mWEhfF27O0c,/sQckQRt17VaWbo39GIu0TMOiszq.jpg,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",300,113,"Horror, Thriller, Science Fiction",DNA Films,7.23,7019,8000000,84661434,21.5785,"$45,064,915",7.5,"467,604",tt0289043,73,R,10 wins & 32 nominations total,Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston"
Avengers: Infinity War,299536,2018-04-25,QwievZ1Tx-8,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",300,149,"Adventure, Action, Science Fiction",Marvel Studios,8.2,30369,300000000,2052415039,38.7281,"$678,815,482",8.4,"1,263,980",tt4154756,68,PG-13,Nominated for 1 Oscar. 48 wins & 81 nominations total,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
Novocaine,1195506,2025-03-12,99BLnkAlC1M,/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",200,109,"Action, Comedy, Thriller","Circle of Confusion, Safehouse Pictures, Paramount Pictures, Infrared Pictures, Domain Entertainment, FilmNation Entertainment, Mediaflix",6.952,147,18000000,28090637,36.179,"$2,036,682",5.8,"11,952",tt0234354,45,R,N/A,David Atkins,"Steve Martin, Helena Bonham Carter, Chelcie Ross"
Wicked,402431,2024-11-20,pqi45Qhq3CI,/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",300,162,"Drama, Romance, Fantasy","Universal Pictures, Marc Platt Productions",6.932,2005,150000000,747289164,38.0792,"$473,231,120",7.5,"140,661",tt1262426,73,PG,Won 2 Oscars. 112 wins & 300 nominations total,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jeff Goldblum"
