title,tmdb_id,release_date,trailer_id,poster_path,overview,comment_count,runtime,genres,production_companies,tmdb_vote_average,tmdb_vote_count,budget,revenue,popularity,box_office,imdb_rating,imdb_votes,imdb_id,metacritic,rated,awards,director,actors
The Amateur,1087891,2025-04-09,DCWcK4c-F8Q,/SNEoUInCa5fAgwuEBMIMBGvkkh.jpg,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",399,123,"Thriller, Action","20th Century Studios, Hutch Parker Entertainment, Joel B. Michaels Productions",7.4,11,60000000,6892098,62.3812,"$6,892,098",5.8,947,tt0082005,N/A,R,10 nominations total,Charles Jarrott,"John Savage, Christopher Plummer, Marthe Keller"
Inside Out 2,1022789,2024-06-11,u69y5Ie519M,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",300,97,"Animation, Adventure, Comedy, Family","Walt Disney Pictures, Pixar",7.557,5730,200000000,1698863816,53.7568,"$652,980,194",7.5,"211,354",tt22022452,73,PG,Nominated for 1 Oscar. 4 wins & 105 nominations total,Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman"
Love Hurts,1226406,2025-02-06,y7_gi1-bIJs,/skPPVeHoTTVVSJlb0Ib5vrqiuA4.jpg,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",185,83,"Action, Comedy, Romance","87North Productions, Universal Pictures, dentsu",5.938,152,18000000,16958671,46.6654,"$15,683,090",5.3,"6,793",tt30788842,34,R,N/A,Jonathan Eusebio,"Ke Huy Quan, Ariana DeBose, Mustafa Shakir"
Dog Man,774370,2025-01-24,QaJbAennB_Q,/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",300,89,"Family, Comedy, Adventure, Animation",DreamWorks Animation,7.8,195,40000000,134251500,50.4958,"$90,317,665",6.5,"6,663",tt10954718,66,PG,N/A,Peter Hastings,"Pete Davidson, Poppy Liu, Lil Rel Howery"
xXx,7451,2002-08-09,NgPdDDzVhkA,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",171,124,"Action, Adventure, Thriller, Crime","Columbia Pictures, Original Film, Revolution Studios, Neal H. Moritz Productions",5.938,4393,70000000,277448382,50.0338,"$142,109,382",5.8,"189,673",tt0295701,48,PG-13,4 wins & 14 nominations total,Rob Cohen,"Vin Diesel, Asia Argento, Marton Csokas"
Interstellar,157336,2014-11-05,LY19rHKAaAg,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,116,169,"Adventure, Drama, Science Fiction","Legendary Pictures, Syncopy, Lynda Obst Productions",8.453,36888,165000000,746606706,48.7043,"$203,227,580",8.7,"2,301,429",tt0816692,74,PG-13,Won 1 Oscar. 44 wins & 148 nominations total,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
Anora,1064213,2024-10-14,8m6UrWMl18M,/7MrgIUeq0DD2iF7GR6wqJfYZNeC.jpg,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",208,139,"Drama, Comedy, Romance","Cre Film, FilmNation Entertainment",7.062,1984,6000000,51868503,44.5404,"$16,300,129",7.8,"122,308",tt28607951,91,R,Won 5 Oscars. 144 wins & 267 nominations total,Sean Baker,"Mikey Madison, Paul Weissman, Yura Borisov"
The Godfather,238,1972-03-14,Ew9ngL1GZvs,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",246,175,"Drama, Crime","Paramount Pictures, Alfran Productions",8.686,21295,6000000,245066411,45.0749,"$136,381,073",9.2,"2,108,592",tt0068646,100,R,Won 3 Oscars. 31 wins & 31 nominations total,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
Red One,845781,2024-10-31,7l3hfD74X-4,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",300,124,"Action, Comedy, Fantasy","Seven Bucks Productions, The Detective Agency, Chris Morgan Productions, Metro-Goldwyn-Mayer",7.056,2433,250000000,185700759,41.5546,"$97,000,759",6.3,"137,223",tt14948432,34,PG-13,7 nominations total,Jake Kasdan,"Dwayne Johnson, Chris Evans, Lucy Liu"
The Shawshank Redemption,278,1994-09-23,PLl99DlL6b4,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",251,142,"Drama, Crime",Castle Rock Entertainment,8.7,28092,25000000,28341469,38.8609,"$28,767,189",9.3,"3,015,278",tt0111161,82,R,Nominated for 7 Oscars. 21 wins & 42 nominations total,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton"
